barkod,naziv_spar,marka_spar,cijena_spar,akcijska_cijena_spar,kategorija_spar,naziv_kaufland,marka_kaufland,cijena_kaufland,akcijska_cijena_kaufland,kategorija_kaufland,razlika_eur,jeftiniji,razlika_posto
7322540919516,ULO.LIBRESSE MULTI BLACK 30/1,Libresse,1.59,,Toaletne potrepštine,Libresse Ulošci dnevni Black 30/1,Libresse,1.95,,,-0.36,spar,22.6
3850111505782,SRE.SUPER JON IQ KUHINJA 425ml,Super Jon,3.99,,Sredstva za čišćenje,Super Jon Sredstvo za kuhinju lav. 425ml,Super Jon,4.89,,,-0.9,spar,22.6
3858881249356,VITAM.C+ZN MULTIV.DIREKT 20/1,Multivita,3.99,,Hrana,Multivita Prašak s vitaminom C 20/1 30g,Multivita,4.89,,,-0.9,spar,22.6
9003579302552,POSL.ZA PSE PEDIG.MARK.150 g,Pedigree,1.59,,Proizvodi za kućanstvo,Pedigree za pse markies 150gr,Pedigree,1.95,,,-0.36,spar,22.6
3856021306709,ČIPS CHIO PAPRIKA 130 g,Chio,2.19,,Hrana,Chio Chips Čips crvena paprika 130 g,Chio Chips,1.79,,,0.4,kaufland,22.3
3856021306501,ČIPS ČIPI ČIPS SLANI 130 g,Chio,2.19,,Hrana,Čipi Čips slani 130g,Chio Čips,1.79,,,0.4,kaufland,22.3
3856021306723,ČIPS CHIO FEFERONI 130 g,Chio,2.19,,Hrana,Chio Chips Čips feferoni 130 g,Chio Chips,1.79,,,0.4,kaufland,22.3
3850339402139,PUREĆI ODRESCI OD PRSA 400 g,Vindon,6.59,,Hrana,Vindon pur odresci od filea prsiju 400g,Vindon,5.39,,,1.2,kaufland,22.3
3856021307751,ČIPS CHIO VATRENO LJUT 120 g,,2.19,,Hrana,Chio Čipi Čips rebrasti vatreno ljut120g,Chio,1.79,,,0.4,kaufland,22.3
3858881248601,KAPSULE MULT.OMEGA 3 30/1,Multivita,4.49,,Hrana,Multivita dod.prehr.omega 3 kapsule 30/1,Multivita,5.49,,,-1.0,spar,22.3
3850133800773,PRŠUT NARESCI DOBRO 90 g,Dobro,3.29,,Hrana,DOBRO Pršut naresci 90 g,Dobro,2.69,,,0.6,kaufland,22.3
3856021307775,ČIPS CHIO KREMA.PAPRIKA 120 g,,2.19,,Hrana,Chio Čipi Čips ultr.reb.krem.paprika120g,Chio,1.79,,,0.4,kaufland,22.3
3856021307737,ČIPS CHIO SLANI 120 g,,2.19,,Hrana,Chio Čipi Čips rebrasti slani 120 g,Chio,1.79,,,0.4,kaufland,22.3
3856021306747,ČIPS CHIO VRHNJE&LUK 130 g,Chio,2.19,,Hrana,Chio Chips Čips vrhnje i luk 130 g,Chio Chips,1.79,,,0.4,kaufland,22.3
3856021306525,ČIPS ČIPI ČIPS PRŠUT 130 g,Chio,2.19,,Hrana,Čipi Čips Pršut 130g,Čipi čips,1.79,,,0.4,kaufland,22.3
3856021306549,ČIPS ČIPI ČIPS PAPRIKA 120 g,Chio,2.19,,Hrana,Čipi Čips Paprika 120g,Čipi čips,1.79,,,0.4,kaufland,22.3
3263289998711,"VINO JP CHENET SHIRAZ 0,75 L",,6.09,,Pića,"J.P. Chenet Shiraz kval. vino 0,75 l",J.P. Chenet,4.99,,,1.1,kaufland,22.0
8720182903181,OSVJ. ZA WC DOMESTOS 2X50 g,Domestos,4.09,,Sredstva za čišćenje,Domestos Osvjež.za WC školj.ocean2x50g,Domestos,4.99,,,-0.9,spar,22.0
8720182903174,OSVJ. ZA WC DOMESTOS 2x50 g,Domestos,4.09,,Sredstva za čišćenje,Domestos Osvjež.za WC školj.limun2x50g,Domestos,4.99,,,-0.9,spar,22.0
3263286328993,"VINO JP CHENET MERLOT 0,75 L",,6.09,,Pića,"J.P. Chenet Merlot kval.vino 0,75 l",J.P.Chenet,4.99,,,1.1,kaufland,22.0
3858894171224,"GIN AURELIS 37,5% 0,7 L",,9.09,,Pića,"Zvečevo Aurelis gin  37,5% 0,7 l",Zvečevo,7.45,,,1.64,kaufland,22.0
3263286301323,"VINO JP CHENET CA.SYRAH 0,75 L",,6.09,,Pića,"J.P. Chenet Cabernet Syrah 0,75 l",J.P. Chenet,4.99,,,1.1,kaufland,22.0
7322540063547,ULOŠC.LIBR.CLASSIC NORMAL 20/1,Libresse,1.19,,Toaletne potrepštine,Libresse Ulošci hig.class.nor.duo20/1_OC,Libresse,1.45,,,-0.26,spar,21.8
3870128007284,VL.MAR.VIOLETA BADEM 2X56/1,Violeta,2.95,,Toaletne potrepštine,Violeta baby vlažne maramice badem 2x56,Violeta,3.59,,,-0.64,spar,21.7
3856014112850,ŠTAPIĆI SLANI SALTAS 220 g,Saltas,1.39,,Hrana,Saltas štapići slani 220 g,Saltas,1.69,,,-0.3,spar,21.6
3850104020797,GRAH PODRAVKA BIJELI 400 g,Podravka,1.39,,Hrana,Podravka bijeli grah 400g/230g,Podravka,1.69,,,-0.3,spar,21.6
3850104024870,GRAH PODRAVKA SMEĐI 400 g,Podravka,1.39,,Hrana,Podravka smeđi grah 400g/230g,Podravka,1.69,,,-0.3,spar,21.6
5310002360749,BOMBONI NEGRO MINT 100 g,Negro,0.79,,Hrana,Noire Bomboni punjeni tvrdi 100 g,Noire,0.65,,,0.14,kaufland,21.5
8700216765923,KAPSULE ARIEL SENSITIVE 44/1,Ariel,13.99,,Sredstva za čišćenje,Ariel Deterdžent za rublje Sensitive44/1,Ariel,16.99,,,-3.0,spar,21.4
3858890100631,KAPSULE ESENC.VITAMIN D 30/1,Encian,4.19,,Hrana,Esencia Kapsule vitamin D 30/1,Esencia,3.45,,,0.74,kaufland,21.4
8700216764483,KAP.ARIEL COMPLETE 38/1,Ariel,13.99,,Sredstva za čišćenje,Ariel Det.kapsule XXL Extra Color 38/1,Ariel,16.99,,,-3.0,spar,21.4
3858882683814,KRPA MAGIČNA 50X60cm,,3.99,,Proizvodi za kućanstvo,Magična krpa za velike površine 50x60cm,Rekord,3.29,,,0.7,kaufland,21.3
8000440112365,"VODKA KEGLEVICH CLASSIC 0,7 L",,9.09,,Pića,"Vodka Keglevich 38% classic 0,7 l",Keglevich,11.02,,,-1.93,spar,21.2
3858881249202,KAPSULE MULTIVITA VITAM.D 30/1,Multivita,3.79,,Hrana,Multivita Kapsule Vitamin D 30/1,Multivita,4.59,,,-0.8,spar,21.1
3858881248748,TABL.MULTIVITA IMM.C+D+ZN 15/1,Multivita,3.79,,Hrana,Multivita vit. C+D+Zn immunity kaps.15/1,Multivita,4.59,,,-0.8,spar,21.1
5903719640763,MIR.VODICA LA RIVE GOLD.200 ml,La Rive,6.89,,Kozmetika,La Rive Vodica mir.za tij.go.dream 200ml,La Rive,5.69,,,1.2,kaufland,21.1
3850108020922,"MLIJ.UHT 2,8% Z BREGOV 6x1 L",Z Bregov,5.99,,Hrana,"Zbregov Mlijeko trajno UHT 2,8% 6x1L_OC",Zbregov,4.95,,,1.04,kaufland,21.0
8595241524887,LOSOS FJK UMAK SENF 110 g,Franz Jozef Kaiser,2.89,,Hrana,Kaiser Franz Josef Losos senf110/55g,Kaiser Franz Josef,2.39,,,0.5,kaufland,20.9
8001090821232,PATRONE GILLETTE MACH3 20/1,Gillette,42.99,,Kozmetika,Gillette Britvice zamjenske Mach3 20/1,Gillette,51.99,,,-9.0,spar,20.9
3858881736245,POLUPR.CEL.OVITAK 45/50 5/1,,2.89,,Hrana,Derma umjetna crijeva faser bak 45/50 ve,Derma,2.39,,,0.5,kaufland,20.9
3858887246243,POVRTNI NAMAZ NATUREL 75 g,Naturel,1.45,,Hrana,Naturel namaz od povrća 75 g,Naturel,1.75,,,-0.3,spar,20.7
3858890878615,"OS.PIĆE TOCO MULTIVITAMI.1,5 L",,1.75,,Pića,"Toco multivitamin 1,5l PET",Toco,1.45,,,0.3,kaufland,20.7
3858890878974,"OS.PIĆE TOCO NAR.AVOKADO 1,5 L",,1.75,,Pića,"Toco crv. naranča avokado cikla 1,5l PET",Toco,1.45,,,0.3,kaufland,20.7
3858890878790,"OS.PIĆE TOCO NARANČ.MRKVA1,5 L",,1.75,,Pića,"Toco naranča,mrkva,nektarina 1,5l PET",Toco,1.45,,,0.3,kaufland,20.7
3858887246236,POVR.NAMAZ NATUREL ŠAMP.75 g,Naturel,1.45,,Hrana,Naturel namaz od povrća s šamp. 75g,Naturel,1.75,,,-0.3,spar,20.7
7322541192543,ULOŠCI LIBRESSE CLIP 10/1,Libresse,1.65,,Toaletne potrepštine,Libresse Ulošci hig.max.goodni.+ 10/1_OC,Libresse,1.99,,,-0.34,spar,20.6
3858890100143,MAST NEVEN ENCIAN 100 ml,Encian,4.09,,Kozmetika,Encian neven mast 100 ml,Encian,3.39,,,0.7,kaufland,20.6
3858894171798,"LIKER BARUN ZVEČEVO 0,70 L",,13.39,,Pića,"Zvečevo Liker biljni Barun 35% 0,7L",Zvečevo,11.12,,,2.27,kaufland,20.4
3859891367207,"VREĆICE ZA ZAMRZAVANJE,2L 25/1",,0.49,,Proizvodi za kućanstvo,Opti Line Vrećice za domaćinstvo 2L 25/1,Opti Line,0.59,,,-0.1,spar,20.4
